ID,В стоп-л,Email польз.,Email VK,Email Yandex,Email Google,Email OK,Email Twitter,Email FB,ID пользователя,Дата рождения,Кол-во транзакций,Накоп. сумма,Посл. пожер.
447,Нет,Есть,-,Есть,Есть,-,-,-,139992,1985-01-20,10,2300.00,10.05.2024 16:41:22
446,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,15.06.2020 19:04:11
445,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,20.07.2020 21:32:38
444,Нет,-,-,-,-,-,-,-,Не указано,Не указано,7,7000.00,16.08.2020 00:50:04
443,Нет,Есть,-,-,-,-,-,-,14,1983-11-12,24,14000.00,16.08.2020 16:09:10
442,Да,Есть,-,-,-,-,-,-,150758,1989-09-05,2,15000.00,16.08.2020 21:20:39
441,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,19.09.2020 02:49:53
440,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1000.00,22.10.2020 21:30:25
439,Нет,-,-,-,-,-,-,-,Не указано,Не указано,3,1500.00,02.11.2020 20:03:01
438,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,26.11.2020 21:51:14
437,Нет,Есть,-,Есть,-,-,-,-,725,1990-01-01,2,0,30.12.2020 20:31:06
436,Нет,Есть,-,-,-,-,-,-,133664,1976-04-22,1,300.00,30.12.2020 20:32:50
435,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,10.00,30.12.2020 20:34:52
434,Нет,Есть,-,-,-,-,-,-,43316,1991-06-06,1,500.00,15.01.2021 14:21:16
433,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,2000.00,17.01.2021 17:44:31
432,Да,Есть,-,-,-,-,-,-,139345,Не указано,1,500.00,21.01.2021 20:48:56
431,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,5000.00,28.06.2021 21:56:56
430,Нет,Есть,-,-,-,-,-,-,114557,Не указано,1,100.00,16.07.2021 22:08:11
429,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,13.08.2021 00:46:27
428,Нет,Есть,-,-,-,-,-,-,139190,Не указано,1,300.00,22.08.2021 03:02:12
427,Нет,-,-,-,-,-,-,-,Не указано,Не указано,10,1500.00,01.10.2021 09:09:26
426,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1000.00,06.10.2021 16:15:16
425,Нет,-,-,-,-,-,-,-,Не указано,Не указано,5,200.00,12.11.2021 20:43:41
424,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,13.11.2021 15:57:52
423,Нет,Есть,-,Есть,Есть,-,-,-,180720,1972-11-07,1,100.00,29.12.2021 20:47:38
422,Нет,Есть,-,-,-,-,-,-,149672,1985-07-26,7,9000.00,25.01.2022 04:56:42
421,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,15.02.2022 00:38:53
420,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,2000.00,28.02.2022 07:07:25
419,Нет,Есть,-,Есть,Есть,-,-,-,140461,1981-11-26,1,1000.00,22.04.2022 16:27:13
418,Нет,Есть,-,Есть,Есть,-,-,-,202328,1995-08-15,1,500.00,12.05.2022 15:22:06
417,Нет,Есть,-,-,-,-,-,-,9068,1985-07-04,1,300.00,20.07.2022 19:20:22
416,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,21.07.2022 05:06:14
415,Нет,Есть,-,Есть,Есть,-,-,-,141625,1997-05-13,33,25800.00,27.05.2024 13:19:21
414,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,200.00,23.07.2022 21:26:27
413,Нет,Есть,-,-,Есть,-,-,-,193098,1998-05-09,1,1000.00,25.07.2022 00:49:15
412,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,25.07.2022 01:02:08
411,Нет,Есть,-,-,-,-,-,-,173252,1981-10-24,2,600.00,01.04.2024 21:30:47
410,Да,Есть,-,-,-,-,-,-,169771,1989-11-04,1,200.00,25.07.2022 02:06:02
409,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,25.07.2022 05:43:43
408,Нет,Есть,-,-,-,-,-,-,134383,1991-10-05,1,50.00,25.07.2022 10:46:11
407,Нет,Есть,-,Есть,Есть,-,-,-,207667,1988-08-07,1,500.00,25.07.2022 14:05:03
406,Нет,Есть,-,-,-,-,-,-,195937,Не указано,1,100.00,28.07.2022 00:04:55
405,Нет,Есть,-,-,-,-,-,-,194567,1986-08-04,5,2500.00,05.08.2022 19:11:54
404,Нет,Есть,-,Есть,Есть,-,-,-,95531,1995-06-02,1,0,30.08.2022 20:54:23
403,Нет,Есть,-,-,Есть,-,-,-,183503,Не указано,4,100.00,01.09.2022 20:53:03
402,Да,Есть,-,-,-,-,-,-,149556,1986-04-07,1,100.00,07.09.2022 04:22:32
401,Нет,Есть,-,Есть,-,-,-,-,118163,1988-01-27,1,500.00,12.09.2022 13:23:57
400,Нет,-,-,-,-,-,-,-,Не указано,Не указано,12,530.00,27.09.2022 04:26:23
399,Нет,Есть,-,-,-,-,-,-,141218,1996-06-24,2,900.00,10.10.2022 17:49:19
398,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,20.00,11.10.2022 02:44:26
397,Нет,Есть,-,-,Есть,-,-,-,172589,2000-11-08,3,300.00,14.10.2022 12:13:10
396,Нет,Есть,-,-,-,-,-,-,102698,Не указано,5,900.00,25.10.2022 02:24:21
395,Нет,Есть,-,-,-,-,-,-,148914,1985-09-08,1,200.00,01.11.2022 15:00:01
394,Нет,Есть,-,-,-,-,-,-,142000,1978-02-09,1,200.00,01.11.2022 17:21:32
393,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,10.00,02.11.2022 05:04:05
392,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,02.11.2022 05:36:29
391,Нет,Есть,-,-,-,-,-,-,131716,1988-07-26,1,100.00,02.11.2022 05:47:05
390,Нет,Есть,-,-,-,-,-,-,80386,Не указано,1,100.00,02.11.2022 05:54:58
389,Нет,Есть,-,-,-,-,-,-,217900,Не указано,1,300.00,02.11.2022 06:06:43
388,Нет,Есть,-,-,-,-,-,-,51668,Не указано,2,500.00,02.11.2022 06:31:37
387,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1000.00,02.11.2022 07:07:38
386,Нет,Есть,-,-,-,-,-,-,218772,1976-11-21,1,100.00,02.11.2022 08:06:26
385,Нет,Есть,-,-,-,-,-,-,225869,1992-04-29,1,300.00,02.11.2022 10:39:10
384,Нет,Есть,-,Есть,Есть,-,-,-,162049,1995-01-06,1,100.00,02.11.2022 11:33:00
383,Да,Есть,-,-,Есть,-,-,-,4346,1981-01-05,1,500.00,02.11.2022 12:10:45
382,Нет,Есть,-,-,Есть,-,-,-,167340,1986-02-04,1,200.00,02.11.2022 12:22:06
381,Нет,Есть,-,-,-,-,-,-,9821,1998-05-28,1,100.00,02.11.2022 12:24:59
380,Нет,Есть,-,-,-,-,-,-,166025,1987-07-06,1,100.00,02.11.2022 13:00:54
379,Нет,Есть,-,Есть,-,-,-,-,140101,1992-08-25,1,300.00,02.11.2022 13:20:11
378,Да,Есть,-,-,-,-,-,-,191511,1977-11-16,1,0,02.11.2022 13:39:56
377,Нет,Есть,-,-,-,-,-,-,149307,1986-04-03,1,300.00,02.11.2022 13:56:54
376,Нет,Есть,-,-,-,-,-,-,136532,Не указано,1,1000.00,02.11.2022 14:08:13
375,Нет,Есть,-,-,-,-,-,-,146896,1976-09-09,1,100.00,02.11.2022 14:27:31
374,Нет,Есть,-,-,Есть,-,-,-,159991,Не указано,1,200.00,02.11.2022 14:33:15
373,Да,Есть,-,-,-,-,-,-,137618,1977-09-15,1,100.00,02.11.2022 14:41:57
372,Нет,Есть,-,-,-,-,-,-,196489,Не указано,1,100.00,02.11.2022 14:52:23
371,Нет,Есть,-,-,-,-,-,-,227198,Не указано,1,500.00,02.11.2022 14:55:28
370,Нет,Есть,-,-,-,-,-,-,59690,1989-04-14,1,100.00,02.11.2022 15:06:54
369,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,02.11.2022 15:50:02
368,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,02.11.2022 15:54:12
367,Нет,Есть,-,-,-,-,-,-,104132,Не указано,1,300.00,02.11.2022 16:37:57
366,Нет,Есть,-,Есть,Есть,-,-,-,155876,1992-04-25,4,700.00,24.05.2024 11:40:33
365,Нет,Есть,-,-,-,-,-,-,117896,Не указано,1,300.00,02.11.2022 16:52:59
364,Нет,Есть,-,-,-,-,-,-,9770,1996-10-19,1,100.00,02.11.2022 17:11:03
363,Нет,Есть,-,-,-,-,-,-,149121,1992-10-13,1,100.00,02.11.2022 17:34:50
362,Нет,Есть,-,-,-,-,-,-,202177,1970-09-04,1,300.00,02.11.2022 17:46:54
361,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,02.11.2022 17:55:14
360,Нет,Есть,-,-,Есть,-,-,-,193956,2003-11-21,1,15.00,02.11.2022 21:59:08
359,Нет,Есть,-,Есть,-,-,-,-,196813,1976-06-27,1,500.00,02.11.2022 22:23:46
358,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,300.00,03.11.2022 01:04:24
